valuation_id,company_id,mkt_cap_per_reserve_oz_precious,mkt_cap_per_mi_oz_precious,mkt_cap_per_resource_oz_precious,mkt_cap_per_mineable_oz_precious,mkt_cap_per_reserve_oz_all,mkt_cap_per_mi_oz_all,mkt_cap_per_resource_oz_all,mkt_cap_per_mineable_oz_all,ev_per_reserve_oz_precious,ev_per_mi_oz_precious,ev_per_resource_oz_precious,ev_per_mineable_oz_precious,ev_per_reserve_oz_all,ev_per_mi_oz_all,ev_per_resource_oz_all,ev_per_mineable_oz_all,mkt_cap_per_production_oz,ev_per_production_oz,last_updated
1004,7,443.1333052631579,224.52087466666666,841.95328,443.1333052631579,443.1333052631579,224.52087466666666,841.95328,443.1333052631579,471.79472842105264,239.0426624,896.409984,471.79472842105264,471.79472842105264,239.0426624,896.409984,471.79472842105264,4209.7664,4482.04992,2025-03-27 02:49:28
1009,10,1404.82531645946,1718.811648302676,2285.2193199516323,1404.82531645946,1404.82531645946,1718.811648302676,2285.2193199516323,1404.82531645946,1411.3010018026055,1726.7346856142426,2295.753271100363,1411.3010018026055,1411.3010018026055,1726.7346856142426,2295.753271100363,1411.3010018026055,22907.592455757574,23013.187335757575,2025-03-27 02:49:28
1011,15,3265.993728,1139.3001376744187,1399.7115977142857,3265.993728,3265.993728,1113.4069527272727,1360.83072,3265.993728,3256.0336213333335,1135.825681860465,1395.4429805714285,3256.0336213333335,3256.0336213333335,1110.0114618181817,1356.6806755555556,3256.0336213333335,19595.962368,19536.201728,2025-03-27 02:49:28
1014,39,1552.1980416,970.123776,2586.996736,1552.1980416,1552.1980416,970.123776,2586.996736,1552.1980416,1545.7380352,966.086272,2576.2300586666665,1545.7380352,1545.7380352,966.086272,2576.2300586666665,1545.7380352,29849.962338461537,29725.731446153844,2025-03-27 02:49:28
1015,16,96.47919333333333,57.887516,289.43758,96.47919333333333,96.47919333333333,57.887516,289.43758,96.47919333333333,147.04818666666668,88.228912,441.14456,147.04818666666668,147.04818666666668,88.228912,441.14456,147.04818666666668,1929.5838666666666,2940.9637333333335,2025-03-27 02:49:28
1016,17,,240.76974,80.25658,,,240.76974,80.25658,,,194.88294,64.96098,,,194.88294,64.96098,,,,2025-03-27 02:49:28
1024,26,,397.4195027777778,238.45170166666665,,,397.4195027777778,238.45170166666665,,,472.5412680555555,283.52476083333335,,,472.5412680555555,283.52476083333335,,,,2025-03-27 02:49:28
1025,31,,,25.233757845433253,,,,25.233757845433253,,,,25.18182868852459,,,,25.18182868852459,,,,2025-03-27 02:49:28
1027,29,,325.9779595,184.95203375886524,,,325.9779595,184.95203375886524,,,218.08996374999998,123.73898652482268,,,218.08996374999998,123.73898652482268,,,,2025-03-27 02:49:28
1028,30,363.3154162162162,229.39710580204778,,363.3154162162162,363.3154162162162,229.39710580204778,,363.3154162162162,326.5625513513514,206.1913720136519,,326.5625513513514,326.5625513513514,206.1913720136519,,326.5625513513514,4888.243781818182,4393.750690909091,2025-03-27 02:49:28
1029,41,,153.34225333333333,57.503345,,,153.34225333333333,57.503345,,,125.87798666666667,47.204245,,,125.87798666666667,47.204245,,,,2025-03-27 02:49:28
1030,32,643.3532436194896,293.6566036536934,436.4978323494687,643.3532436194896,643.3532436194896,293.6566036536934,436.4978323494687,643.3532436194896,967.4496148491879,441.5893926396611,656.3884832743015,967.4496148491879,967.4496148491879,441.5893926396611,656.3884832743015,967.4496148491879,4621.4208,6949.513066666666,2025-03-27 02:49:28
1034,36,223.8978316100443,147.1639145631068,308.55741882951656,223.8978316100443,223.8978316100443,147.1639145631068,308.55741882951656,223.8978316100443,238.1352082717873,156.5218796116505,328.1781903307888,238.1352082717873,238.1352082717873,156.5218796116505,328.1781903307888,238.1352082717873,2755.9787636363635,2931.2279272727274,2025-03-27 02:49:28
1035,49,,135.06252654079088,457.3226924004825,,,113.57714559616537,333.4393245382586,,,126.25368008550053,427.49587454764776,,,106.16958657878969,311.6922427440633,,10832.014628571429,10125.545142857143,2025-03-27 02:49:28
1036,38,,12.563844129287599,42.51515111607143,,,12.563844129287599,42.51515111607143,,,10.95714302110818,37.07818933035714,,,10.95714302110818,37.07818933035714,,,,2025-03-27 02:49:28
1044,48,,1346.6161665278935,20216.0752,,,1346.6161665278935,20216.0752,,,1387.6260449625313,20831.736,,,1387.6260449625313,20831.736,,46208.171885714284,47615.39657142857,2025-03-27 02:49:28
1051,55,1095.6412666666668,131.476952,657.38476,1095.6412666666668,1095.6412666666668,131.476952,657.38476,1095.6412666666668,2012.2550666666666,241.470608,1207.35304,2012.2550666666666,2012.2550666666666,241.470608,1207.35304,2012.2550666666666,,,2025-03-27 02:49:28
1054,58,,,,,,,,,,,,,,,,,,,2025-03-27 02:49:28
1058,62,,,,,,,,,,,,,,,,,,,2025-03-27 02:49:28
1059,63,,40.25219006007646,377.9577435897436,,,40.25219006007646,377.9577435897436,,,28.893262697979246,271.3003282051282,,,28.893262697979246,271.3003282051282,,2456.7253333333333,1763.4521333333332,2025-03-27 02:49:28
1061,69,,,,,,,,,,,,,,,,,,,2025-03-27 02:49:28
1064,68,1217.8690048,811.9126698666666,1623.8253397333333,1217.8690048,1217.8690048,811.9126698666666,1623.8253397333333,1217.8690048,1246.265344,830.8435626666667,1661.6871253333334,1246.265344,1246.265344,830.8435626666667,1661.6871253333334,1246.265344,6089.345024,6231.32672,2025-03-27 02:49:28
1068,72,,11.914962666666666,4.4681109999999995,,,11.914962666666666,4.4681109999999995,,,,,,,,,,,,2025-03-27 02:49:28
1073,95,,59.577084684684685,244.92801481481482,,,56.396523963841034,233.42945287680902,,,55.02923603603604,226.2313037037037,,,52.09146512024561,215.61049064595835,,,,2025-03-27 02:49:28
1074,78,,1024.90336,215.3158319327731,,,382.42662686567166,91.18357295373666,,,964.007232,202.52252773109242,,,359.7041910447761,85.76576797153025,,,,2025-03-27 02:49:28
1075,97,,104.47328979591836,423.073652892562,,,104.47328979591836,423.073652892562,,,210.77335510204082,853.5449917355372,,,210.77335510204082,853.5449917355372,,,,2025-03-27 02:49:28
1076,80,,75.445865,33.681189732142855,,,47.153665625,13.520764336917562,,,73.33111339999999,32.73710419642857,,,45.831945875,13.141776594982078,,,,2025-03-27 02:49:28
1077,81,512.3044937142857,263.6861364705882,1195.377152,597.688576,312.3807888501742,229.88022153846154,896.532864,358.6131456,347.5408457142857,178.88131764705884,810.92864,405.46432,211.91514982578397,155.94781538461538,608.19648,243.278592,,,2025-03-27 02:49:28
1079,83,1940.446592,,,,1293.6310613333333,,,,2201.72544,,,,1467.81696,,,,17640.423563636363,20015.685818181817,2025-03-27 02:49:28
1081,86,,,12.00266,,,,8.001773333333333,,,,9.829669,,,,6.553112666666667,,,,2025-03-27 02:49:28
1082,88,,,791.5424,,,,316.61696,,,,778.7617066666667,,,,311.50468266666667,,,,2025-03-27 02:49:28
1083,89,,15.14916956937799,54.12267418803419,,,15.14916956937799,54.12267418803419,,,21.022166267942584,75.10483333333333,,,21.022166267942584,75.10483333333333,,,,2025-03-27 02:49:28
1090,100,648.7583219512196,309.29175813953486,738.8636444444444,648.7583219512196,648.7583219512196,309.29175813953486,738.8636444444444,648.7583219512196,719.5353912195122,343.03431441860465,819.4708622222222,719.5353912195122,719.5353912195122,343.03431441860465,819.4708622222222,719.5353912195122,,,2025-03-27 02:49:28
1092,98,,50.40882694166935,20.335230109204367,,,50.40882694166935,20.335230109204367,,,48.6709571382533,19.63416276651066,,,48.6709571382533,19.63416276651066,,,,2025-03-27 02:49:28
1094,103,,313.3998418518519,61.317360362318844,,,313.3998418518519,61.317360362318844,,,,,,,,,,,,2025-03-27 02:49:28
1096,102,,,,,,,,,,,,,,,,,,,2025-03-27 02:49:28
1097,107,1591.4349934706179,2644.864,11521.989352727272,,1241.1073529181356,1879.3280379596679,7961.173547738694,,1294.4335911602209,2151.266510851419,9371.6992,,1009.485812769291,1528.5986239620404,6475.420301507537,,,,2025-03-27 02:49:28
1103,109,,30.800501006751155,14.97285985720866,,,30.436403323970037,14.945323563218391,,,29.592811417742507,14.385773076923076,,,29.24299002808989,14.35931648275862,,,,2025-03-27 02:49:28
1105,140,,,,,,,,,,,,,,,,,,,2025-03-27 02:49:28
1106,116,18.40077121763713,2.5689042340541524,7.900103646849773,22.992313087674713,18.40077121763713,2.5689042340541524,7.900103646849773,22.992313087674713,18.482378409160244,2.5802972923859713,7.93514050827996,23.09428371029225,18.482378409160244,2.5802972923859713,7.93514050827996,23.09428371029225,,,2025-03-27 02:49:28
1107,129,366.81541742859457,199.89733868336347,655.125974566474,366.81541742859457,330.9586614104249,185.5470774771825,626.1701303867403,330.9586614104249,360.23373800469295,196.310629569205,643.3712092485549,360.23373800469295,325.020351000146,182.21785159415543,614.9349127071823,325.020351000146,9066.943488,8904.257536,2025-03-27 02:49:28
1108,114,324.407168,162.203584,108.13572266666667,405.50896,216.27144533333333,108.13572266666667,72.09048177777778,405.50896,338.223616,169.111808,112.74120533333334,422.77952,225.48241066666668,112.74120533333334,75.16080355555556,422.77952,,,2025-03-27 02:49:28
1112,135,,,,,,,,,,,,,,,,,,,2025-03-27 02:49:28
1113,121,,,,,,,,,,,,,,,,,,,2025-03-27 02:49:28
1117,125,237.35178242939918,259.4253492326125,458.54660104881003,237.35178242939918,237.35178242939918,259.4253492326125,458.54660104881003,237.35178242939918,304.4073188912669,332.71700850116963,588.093082694635,304.4073188912669,304.4073188912669,332.71700850116963,588.093082694635,304.4073188912669,7907.735819130435,10141.793057391304,2025-03-27 02:49:28
1120,128,,40.25591935,21.469823653333332,,,24.772873446153845,12.881894192,,,38.270582149999996,20.410977146666667,,,23.551127476923075,12.246586288,,,,2025-03-27 02:49:28
1121,132,10.208107698289268,1.8620746808510638,26.255253,10.208107698289268,6.742489214175655,1.2984793768545995,16.409533125,6.742489214175655,,,,,,,,,,,2025-03-27 02:49:28
1123,131,2052.195,24.875090909090908,131.55096153846154,,732.9267857142858,24.875090909090908,110.92945945945947,,1903.4894,23.07259878787879,122.01855128205128,,679.8176428571428,23.07259878787879,102.89131891891891,,,,2025-03-27 02:49:28
1127,151,,,7.4199025,,,,7.4199025,,,,6.519667542857143,,,,6.519667542857143,,,,2025-03-27 02:49:28
1129,137,,,,,,,,,,,,,,,,,,,2025-03-27 02:49:28
1131,139,11.703866198439242,10.625878522267207,41.009249921875,12.322028145539907,11.703866198439242,10.625878522267207,41.009249921875,12.322028145539907,,,,,,,,,,,2025-03-27 02:49:28
1132,147,,,,,,19.35259346,9.67629673,,,,,,,13.11901542,6.55950771,,,,2025-03-27 02:49:28
1136,144,,,,,,,,,,,,,,,,,63312.57504477612,61146.35348059701,2025-03-27 02:49:28
1138,156,,9.737751388471178,39.64655922448979,,,7.248811201492537,31.082902432,,,15.43389784461153,62.83801265306122,,,11.48903962686567,49.265001919999996,,,,2025-03-27 02:49:28
1139,153,,14.57911921708185,910.385,,,14.57911921708185,910.385,,,14.255859430604982,890.1992222222223,,,14.255859430604982,890.1992222222223,,,,2025-03-27 02:49:28
1142,150,1388.6903867403314,4488.4457142857145,3103.122962962963,,1232.1223529411764,3866.9686153846155,2792.8106666666667,,1402.441546961326,4532.891428571428,3133.850864197531,,1244.323137254902,3905.260307692308,2820.465777777778,,,,2025-03-27 02:49:28
1143,155,,35.86833190082645,42.1365840776699,,,35.86833190082645,42.1365840776699,,,35.41381024793388,41.60263145631068,,,35.41381024793388,41.60263145631068,,,,2025-03-27 02:49:28
1148,169,,30.159309649122807,120.63723859649123,22.997734448160536,,30.159309649122807,120.63723859649123,22.997734448160536,,,,,,,,,,,2025-03-27 02:49:28
1149,157,169.3322588235294,95.1619305785124,446.30207751937985,169.3322588235294,169.3322588235294,95.1619305785124,446.30207751937985,169.3322588235294,213.19642352941176,119.81286611570248,561.9130542635659,213.19642352941176,213.19642352941176,119.81286611570248,561.9130542635659,213.19642352941176,,,2025-03-27 02:49:28
1152,163,149.67392,49.891306666666665,29.934784,224.51088,149.67392,49.891306666666665,29.934784,224.51088,176.35666666666665,58.785555555555554,35.27133333333333,264.535,176.35666666666665,58.785555555555554,35.27133333333333,264.535,,,2025-03-27 02:49:28
1154,162,20560.442181818184,237.3188499475341,329.8466660184735,16962.3648,20560.442181818184,237.3188499475341,329.8466660184735,16962.3648,18271.83709090909,210.9026316894019,293.13107632474475,15074.2656,18271.83709090909,210.9026316894019,293.13107632474475,15074.2656,,,2025-03-27 02:49:28
1156,164,15.0669226,5.549511086556169,6.608299385964912,15.0669226,15.0669226,5.549511086556169,6.608299385964912,15.0669226,19.38803715,7.141081823204419,8.503525065789473,19.38803715,19.38803715,7.141081823204419,8.503525065789473,19.38803715,,,2025-03-27 02:49:28
1160,172,1980.5161300492614,495.12903251231535,1601.772009561753,1980.5161300492614,1980.5161300492614,495.12903251231535,1601.772009561753,1980.5161300492614,1985.1144197044337,496.2786049261084,1605.4909450199202,1985.1144197044337,1985.1144197044337,496.2786049261084,1605.4909450199202,1985.1144197044337,22973.98710857143,23027.32726857143,2025-03-27 02:49:28
1172,181,,16.896358208955228,117.9225,,,16.896358208955228,117.9225,,,16.891460696517417,117.88831944444445,,,16.891460696517417,117.88831944444445,,,,2025-03-27 02:49:28
1176,189,,14.797041599999998,5.548890599999999,,,14.797041599999998,5.548890599999999,,,,,,,,,,,,2025-03-27 02:49:28
1181,201,,,2.0298055555555554,,,,2.0298055555555554,,,,2.4509438034188036,,,,2.4509438034188036,,,,2025-03-27 02:49:28
1184,194,,252.08757946902656,569.7179296,,,252.08757946902656,569.7179296,,,249.38750973451326,563.615772,,,249.38750973451326,563.615772,,,,2025-03-27 02:49:28
1189,204,427.8196524137931,205.92149244813277,424.1630741880342,427.8196524137931,427.8196524137931,205.92149244813277,424.1630741880342,427.8196524137931,502.69894620689655,241.9629782572614,498.402374017094,502.69894620689655,502.69894620689655,241.9629782572614,498.402374017094,502.69894620689655,7352.159952592592,8638.974482962964,2025-03-27 02:49:28
1192,203,475.8485787234043,133.12430476190477,137.20787239263802,475.8485787234043,475.8485787234043,133.12430476190477,137.20787239263802,475.8485787234043,404.2995744680851,113.10761904761905,116.57717791411044,404.2995744680851,404.2995744680851,113.10761904761905,116.57717791411044,404.2995744680851,,,2025-03-27 02:49:28
1193,207,,,101.78171730000001,,,,101.78171730000001,,,,102.86614689999999,,,,102.86614689999999,,,,2025-03-27 02:49:28
1194,206,,73.355072,24.451690666666668,,,73.355072,24.451690666666668,,,,,,,,,,,,2025-03-27 02:49:28
1196,208,722.7453019178082,606.441460229885,1648.76272,722.7453019178082,722.7453019178082,606.441460229885,1648.76272,722.7453019178082,755.7173304109589,634.1076450574712,1723.98016,755.7173304109589,755.7173304109589,634.1076450574712,1723.98016,755.7173304109589,10049.60134095238,10508.069546666668,2025-03-27 02:49:28
1201,221,,,,,,,,,,,,,,,,,,,2025-03-27 02:49:28
1205,217,2036.0276087591242,1186.9607761702127,737.9253502645503,2036.0276087591242,1650.5075881656805,961.8475255172414,597.2928959314775,1650.5075881656805,1845.7033810218977,1076.005800851064,668.9454052910053,1845.7033810218977,1496.2210840236687,871.9357351724138,541.4590218415418,1496.2210840236687,,,2025-03-27 02:49:28
1207,219,,3.4251551655629138,8.209498888888888,,,3.4251551655629138,8.209498888888888,,,3.6346670993377486,8.711662412698413,,,3.6346670993377486,8.711662412698413,,,,2025-03-27 02:49:28
1209,225,,,9.81419154,,,,9.81419154,,,,,,,,,,,,2025-03-27 02:49:28
1212,224,,33.05654,16.52827,,,33.05654,16.52827,,,31.08592,15.54296,,,31.08592,15.54296,,,,2025-03-27 02:49:28
1213,236,,,,,,,,,,,,,,,,,,,2025-03-27 02:49:28
1214,226,,,20.113300666666667,,,,15.0849755,,,,,,,,,,,,2025-03-27 02:49:28
1217,229,,7.369892787524367,27.596751824817517,,,7.369892787524367,27.596751824817517,,,6.9427920727745285,25.99746228710462,,,6.9427920727745285,25.99746228710462,,,,2025-03-27 02:49:28
1219,238,88.938496,53.3630976,190.58249142857142,,88.938496,53.3630976,190.58249142857142,,84.51125333333333,50.706752,181.09554285714285,,84.51125333333333,50.706752,181.09554285714285,,,,2025-03-27 02:49:28
1223,235,,57.98025,61.8456,,,57.98025,61.8456,,,57.376565,61.201669333333335,,,57.376565,61.201669333333335,,,,2025-03-27 02:49:28
1226,241,,,1.6080294,,,,1.6080294,,,,1.60119806,,,,1.60119806,,,,2025-03-27 02:49:28
1229,245,1864.927364391477,1463.299482006234,4372.551966130398,1864.927364391477,1864.927364391477,1463.299482006234,4372.551966130398,1864.927364391477,1800.390217407006,1412.6609555114762,4221.23667400508,1800.390217407006,1800.390217407006,1412.6609555114762,4221.23667400508,1800.390217407006,21516.599466666667,20772.00213333333,2025-03-27 02:49:28
1232,249,954.000443076923,729.5297505882353,1181.1434057142858,,620.100288,477.0002215384615,670.3786897297298,,910.3649476923077,696.1614305882352,1127.1185066666667,,591.737216,455.18247384615387,639.7159091891892,,,,2025-03-27 02:49:28
1233,253,165.02811227930175,165.02811227930175,2545.241270153846,,165.02811227930175,165.02811227930175,2545.241270153846,,127.05140492768079,127.05140492768079,1959.5235913846154,,127.05140492768079,127.05140492768079,1959.5235913846154,,,,2025-03-27 02:49:28
1234,248,,,7.3022995,,,,6.405525877192982,,,,6.325178439999999,,,,5.548402140350877,,,,2025-03-27 02:49:28
1241,255,,,,,,,,,,,,,,,,,,,2025-03-27 02:49:28
1242,256,,,,,,,,,,,,,,,,,,,2025-03-27 02:49:28
1245,260,,,,,,,,,,,,,,,,,,,2025-03-27 02:49:28
1246,261,,,,,,,,,,,,,,,,,,,2025-03-27 02:49:28
1247,262,,,,,,,,,,,,,,,,,,,2025-03-27 02:49:28
1248,266,,,,,,,,,,,,,,,,,,,2025-03-27 02:49:28
1250,272,49.87989984732825,29.748540314136125,41.09601811320755,,49.87989984732825,29.748540314136125,41.09601811320755,,44.27446717557252,26.405441384020033,36.47770566037736,,44.27446717557252,26.405441384020033,36.47770566037736,,,,2025-03-27 02:49:28
1254,270,,93.453505,18.690701,,,93.453505,18.690701,,,85.60960390000001,17.12192078,,,85.60960390000001,17.12192078,,,,2025-03-27 02:49:28
1257,277,1841.4991639871382,183.09023017902814,154.5765829959514,1841.4991639871382,1841.4991639871382,41.29695990770118,19.18935299045066,1841.4991639871382,1950.475729903537,193.92517647058824,163.7241435897436,1950.475729903537,1950.475729903537,43.74083876550332,20.324943943709165,1950.475729903537,,,2025-03-27 02:49:28
1258,274,,37.15256452,15.480235216666665,,,37.15256452,15.480235216666665,,,40.019613240000005,16.67483885,,,40.019613240000005,16.67483885,,,,2025-03-27 02:49:28
1262,278,,5.3385243392,10.536561195789474,,,1.8051818099188457,3.7073085688888887,,,5.156928059733334,10.17814748631579,,,1.7437763953110912,3.5812000414814817,,,,2025-03-27 02:49:28
1265,281,,,249.74887701333333,,,,249.74887701333333,,,,230.01199744,,,,230.01199744,,,,2025-03-27 02:49:28
1266,282,47.55249914327917,41.27313066666667,160.9652096,,47.55249914327917,41.27313066666667,160.9652096,,49.06581837518464,42.586614153846156,166.0877952,,49.06581837518464,42.586614153846156,166.0877952,,,,2025-03-27 02:49:28
1267,283,593.475,452.1714285714286,703.3777777777777,593.475,231.60000000000002,133.74084507042252,246.63896103896104,231.60000000000002,638.69376,486.62381714285715,756.9703822222223,638.69376,249.2463453658537,143.93098816901409,265.431172987013,249.2463453658537,10128.64,10900.373504,2025-03-27 02:49:28
1279,295,,39.545522798552476,80.74689261083745,,,28.93489708737864,58.64622254025045,,,37.32400868516285,76.21084532019705,,,27.309446778464253,55.35170518783542,,,,2025-03-27 02:49:28
1283,299,,43.85130307467057,106.2072340425532,,,8.542624073017684,20.430040927694407,,,42.86155988286969,103.81009007092199,,,8.349813291500285,19.968925920873122,,,,2025-03-27 02:49:28
